Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
7388669223253;41.7283;23.5471;16.3760;
7388679223253;42.2946;23.3489;14.7691;
7388689223253;41.6283;23.6151;15.3082;
7388699223253;42.2115;23.5752;15.5143;
7388709223253;42.5850;23.2908;14.9723;
7388719223253;42.2086;23.6490;14.3512;
7388729223253;42.6863;23.4489;14.3798;
7388739223253;42.6853;23.4484;14.1872;
7388749223253;42.4974;23.5902;14.2657;
7388759223253;42.7897;23.6081;14.1722;
7388769223253;42.5019;23.6675;14.4502;
7388779223253;43.0725;23.4712;13.6134;
7388789223253;42.2922;23.2726;14.9695;
7388799223253;42.4980;23.5904;14.3620;
7388809223253;41.7264;23.6214;15.4054;
7388819223253;41.8343;23.8579;15.3824;
7388829223253;41.2332;23.4382;15.7055;
7388839223253;41.6378;23.7700;15.7736;
7388849223253;40.8581;23.7219;15.9587;
7388859223253;42.2965;23.4249;14.4723;
7388869223253;41.9303;23.8632;15.0946;
7388879223253;42.1115;23.6432;14.4465;
7388889223253;42.0160;23.6381;14.8306;
7388899223253;42.3323;24.1937;14.6814;
7388909223253;42.4049;23.6616;14.5456;
7388919223253;42.0387;24.1000;15.1679;
7388929223253;41.6507;24.1520;14.9637;
7388939223253;41.3679;24.2889;15.5225;
7388949223253;41.3384;23.6734;15.2012;
7388959223253;41.9322;23.9393;14.7979;
7388969223253;40.9641;23.8823;16.2325;
7388979223253;42.0458;24.3289;14.5664;
7388989223253;42.3315;24.2685;13.9034;
7388999223253;41.9551;24.4764;14.5495;
7389009223253;41.3608;24.2103;14.8567;
7389019223253;41.8712;24.7776;14.5167;
7389029223253;41.1828;24.5822;14.8150;
7389039223253;41.6699;24.6873;14.0416;
7389049223253;42.1611;24.8695;13.3564;
7389059223253;42.3508;24.8039;12.9812;
7389069223253;42.3587;24.9580;13.1578;
7389079223253;41.1909;24.8116;14.4060;
7389089223253;40.9079;25.0235;14.2831;
7389099223253;41.7773;24.9236;13.9223;
7389109223253;41.2785;24.6625;13.8453;
7389119223253;41.4890;24.9827;14.1041;
7389129223253;41.6710;24.6878;14.2341;
7389139223253;40.6114;24.8532;14.8738;
7389149223253;40.8074;24.9409;14.3864;
